EmployeeID,Prob_leave_3m,Prob_leave_6m,Prob_leave_12m,RiskTier_6m,Department,JobRole
1,0.006780256780256733,0.006780256780256733,0.024702296160629134,Low,Sales,Sales Executive
2,0.0,0.0,0.0,Low,Research & Development,Research Scientist
4,0.04578595913890071,0.04578595913890071,0.30016643832699075,Low,Research & Development,Laboratory Technician
5,0.014929865885748295,0.014929865885748295,0.06982898926552195,Low,Research & Development,Research Scientist
7,0.0031371591371589513,0.0031371591371589513,0.014863830613830564,Low,Research & Development,Laboratory Technician
8,0.002429487179487211,0.002429487179487211,0.004760295260295533,Low,Research & Development,Laboratory Technician
10,0.019248091233385334,0.019248091233385334,0.18472873259637956,Low,Research & Development,Laboratory Technician
11,0.024331410316704383,0.024331410316704383,0.3254470177020221,Low,Research & Development,Laboratory Technician
12,0.0,0.0,0.0008282828282828447,Low,Research & Development,Manufacturing Director
13,0.0009523809523809268,0.0009523809523809268,0.0009523809523809268,Low,Research & Development,Healthcare Representative
14,0.0031798941798942826,0.0031798941798942826,0.023922198172198095,Low,Research & Development,Laboratory Technician
15,0.0018062678062676918,0.0018062678062676918,0.008406500906500636,Low,Research & Development,Laboratory Technician
16,0.00033333333333340764,0.00033333333333340764,0.011672360047360053,Low,Research & Development,Research Scientist
18,0.0007196969696970923,0.0007196969696970923,0.01042831841361247,Low,Research & Development,Laboratory Technician
19,0.011096792096792152,0.011096792096792152,0.06599060199060203,Low,Research & Development,Laboratory Technician
20,0.0,0.0,0.00037037037037024323,Low,Research & Development,Manufacturing Director
21,0.0017855477855477364,0.0017855477855477364,0.008569048054342221,Low,Research & Development,Research Scientist
22,0.08398362955715866,0.08398362955715866,0.5146894481241103,Low,Research & Development,Laboratory Technician
23,0.000888888888888828,0.000888888888888828,0.000888888888888828,Low,Sales,Manager
24,0.003608585858585811,0.003608585858585811,0.01689015505191971,Low,Research & Development,Research Scientist
26,0.0018518518518517713,0.0018518518518517713,0.009275853775853826,Low,Research & Development,Manufacturing Director
27,0.010367361325178681,0.010367361325178681,0.0340888270417421,Low,Sales,Sales Representative
28,0.0,0.0,0.00023809523809514843,Low,Research & Development,Research Director
30,0.18058519708132692,0.18058519708132692,0.6586839641957771,Low,Research & Development,Research Scientist
31,0.004966931216930925,0.004966931216930925,0.007663039121372339,Low,Research & Development,Research Scientist
32,0.0,0.0,0.0004166666666666208,Low,Research & Development,Manager
33,0.005465228871575745,0.005465228871575745,0.025956553451135456,Low,Research & Development,Research Scientist
35,0.0,0.0,0.0016388888888889674,Low,Sales,Sales Executive
36,0.0,0.0,0.0,Low,Research & Development,Healthcare Representative
38,0.0020450209069133862,0.0020450209069133862,0.011707845602346834,Low,Sales,Manager
39,0.030025516422575338,0.030025516422575338,0.12168076368076397,Low,Research & Development,Laboratory Technician
40,0.0,0.0,0.0025739908239909015,Low,Research & Development,Healthcare Representative
41,0.02627979427979421,0.02627979427979421,0.12001088257240233,Low,Research & Development,Laboratory Technician
42,0.024084929704512037,0.024084929704512037,0.29396572018166434,Low,Sales,Sales Representative
45,0.043221613081907195,0.043221613081907195,0.2558876094593969,Low,Research & Development,Research Scientist
46,0.0,0.0,0.0017394179894180128,Low,Research & Development,Research Scientist
47,0.009918885580650016,0.009918885580650016,0.04897255712696902,Low,Sales,Sales Representative
49,0.007165861915861993,0.007165861915861993,0.0676550649069998,Low,Sales,Sales Representative
51,0.009164572899867052,0.009164572899867052,0.0944337857131976,Low,Research & Development,Research Scientist
52,0.0008465608465608732,0.0008465608465608732,0.006237845487845561,Low,Sales,Sales Executive
53,0.04072320697320686,0.04072320697320686,0.3257284812392872,Low,Research & Development,Laboratory Technician
54,0.04667371479871463,0.04667371479871463,0.4655466848766081,Low,Research & Development,Laboratory Technician
55,0.0646729724353563,0.0646729724353563,0.4924683850958391,Low,Research & Development,Laboratory Technician
56,0.0004761904761904079,0.0004761904761904079,0.0018903318903320532,Low,Sales,Sales Executive
57,0.0016111111111111187,0.0016111111111111187,0.0028863636363636314,Low,Research & Development,Laboratory Technician
58,0.0,0.0,0.0015277777777776835,Low,Research & Development,Research Director
60,0.0004166666666666208,0.0004166666666666208,0.0033863636363635763,Low,Sales,Sales Executive
61,0.028854812670989327,0.028854812670989327,0.20504556909021976,Low,Research & Development,Research Scientist
62,0.002531746031745996,0.002531746031745996,0.01587253759312568,Low,Sales,Sales Executive
63,0.029989565800711326,0.029989565800711326,0.2888417016589312,Low,Research & Development,Laboratory Technician
64,0.049014856230800596,0.049014856230800596,0.315864403447757,Low,Research & Development,Laboratory Technician
65,0.00829349626408471,0.00829349626408471,0.07521703144922942,Low,Research & Development,Laboratory Technician
68,0.00060606060606061,0.00060606060606061,0.004369769119769162,Low,Sales,Sales Executive
70,0.002031746031746051,0.002031746031746051,0.03746012286646949,Low,Research & Development,Healthcare Representative
72,0.00800088800088794,0.00800088800088794,0.07237629751664831,Low,Sales,Sales Executive
73,0.001462867198161244,0.001462867198161244,0.005892450686568296,Low,Research & Development,Research Director
74,0.00037037037037024323,0.00037037037037024323,0.0006734006734004927,Low,Sales,Sales Executive
75,0.00033333333333340764,0.00033333333333340764,0.005404040404040189,Low,Research & Development,Laboratory Technician
76,0.0,0.0,0.001228956228956135,Low,Research & Development,Laboratory Technician
77,0.0,0.0,0.002287037037037143,Low,Research & Development,Manufacturing Director
78,0.0005128205128206442,0.0005128205128206442,0.0018046398046397405,Low,Research & Development,Manufacturing Director
79,0.0021421568627449927,0.0021421568627449927,0.016245808929632566,Low,Research & Development,Laboratory Technician
80,0.0,0.0,0.002446078431372567,Low,Research & Development,Research Director
81,0.0024047619047617985,0.0024047619047617985,0.01913344525844518,Low,Sales,Sales Executive
83,0.0,0.0,0.00023809523809514843,Low,Research & Development,Healthcare Representative
84,0.00259647759647752,0.00259647759647752,0.028361206188605714,Low,Research & Development,Manager
85,0.00018518518518517713,0.00018518518518517713,0.004244708994708857,Low,Research & Development,Manufacturing Director
86,0.011837656624421267,0.011837656624421267,0.08584574453324456,Low,Research & Development,Research Scientist
88,0.00030303030303024947,0.00030303030303024947,0.009878016863310912,Low,Research & Development,Research Scientist
90,0.02102041368217822,0.02102041368217822,0.2550456513491858,Low,Research & Development,Research Scientist
91,0.0033937728937727396,0.0033937728937727396,0.009443660506160523,Low,Sales,Sales Executive
94,0.0,0.0,0.0004166666666666208,Low,Research & Development,Research Scientist
